,gender,urban_rural,internet_access_hours,family_income_level,brain_rot_level,attention_span_minutes,academic_motivation,education_level,short_video_hours,social_media_hours
0,Male,Rural,5239520087,High,Low,5755219381,7177214107,Graduate,0457008779,1098726699
1,Male,Urban,6262419617,Middle,Low,5130987326,5491656802,Diploma,3306065857,5611524655
2,Female,Urban,3437669738,Low,Low,5584438859,5395044497,Dropout,0884707218,2199905032
3,Male,Urban,4203739435,Middle,Low,5802945967,7618924763,PhD,120038476,2251959836
4,Other,Rural,5419134712,Middle,Low,5257456876.257233,5470742093,School,1884619151,5375873107
5,Other,Rural,5159628953,Middle,Low,5257456876.257233,6100852465,School,1200223735,3031437671
6,Male,Rural,4856546284,Low,Low,5559058898,6174413238,Diploma,1543765655,3490762448
7,Male,Urban,7251634908,Low,Low,5257456876.257233,9019311495,Postgraduate,132013883,4115842471
8,Female,Rural,4545251148,Middle,Low,5257456876.257233,4421155068,School,1182869624,3890993355
9,Female,Urban,4838341885,High,Low,5831404413,6953579491,Postgraduate,0991894593,3042317518
10,Male,Rural,8101382037,Middle,Low,4296587187,1649973153,Dropout,2334687265,3936223161
11,Female,Urban,4227143106,Low,Low,5444971162,6802919009,School,0797280497,2640743983
12,Female,Urban,3565839445,Middle,Low,5257456876.257233,4202660838,Dropout,1780727409,3247325145
13,Male,Rural,5686956502,Middle,Low,5826830673,6756819401,Diploma,1478091057,4180788764
14,Male,Rural,3339649386,Low,Low,5929953427,6793491785,Postgraduate,0797847127,2346901575
15,Male,Rural,4036803767,Low,Low,5327314626,5022340244,School,1442202051,2799782084
16,Female,Rural,5338512196,High,Low,5170035389,5596426518,School,2037468859,3677354874
17,Female,Urban,4687064253,Middle,Low,5210941824,4237489182,School,1553035332,315682584
18,Male,Rural,6701111296,Middle,Moderate,5157487922,4992045243,School,3274874124,5742363964
19,Male,Urban,5597429428,Low,Low,5144385033,4595559506,School,1448797649,3407862935
20,Male,Rural,516610032,Low,Moderate,4852195842,5072331399,Dropout,2650855285,5105446986
21,Male,Rural,377759732,Middle,Low,5531019985,9048311806,Postgraduate,172401986,2958946857
22,Female,Urban,556516828,Low,Low,5257456876.257233,4825302376,School,1456236909,2804084092
23,Male,Urban,4938542326,Middle,Low,4828595423,4417180686,Graduate,1782656301,3912734265
24,Other,Rural,33024269,Middle,Low,5157866643,4601516224,School,1721675601,3270511085
25,Male,Rural,7472699708,Low,Moderate,4046590988,3811890385,School,2531043309,584757472
26,Female,Urban,6303748063,High,Low,5413292277,5285971073,Graduate,1134316163,2683417143
27,Female,Rural,4504142402,Middle,Low,5510053832,6428952538,Graduate,1274813136,2455077359
28,Male,Urban,2765937451,Low,Low,5508023415,465956397,School,0504657022,1668790015
29,Female,Rural,6169545262,Middle,Low,5263861818,6784119224,School,1204901314,3549491513
30,Male,Urban,6174111304,Middle,Low,5257456876.257233,7707413351,Graduate,1660851364,3293953958
31,Female,Urban,8800949605,Low,Low,5677681638,678254926,School,2120279452,6807328147
32,Female,Urban,3816266176,Low,Low,4669158756,1853025284,School,1516512364,2968610607
33,Female,Rural,5916619781,Low,Low,5257456876.257233,7942078837,Graduate,1599300531,2929257766
34,Male,Rural,5068966433,Low,Low,5090250275,3252904307,Diploma,1002079171,3288812303
35,Female,Urban,4194703889,Middle,Low,5257456876.257233,5584053787,Diploma,0830272985,2012259947
36,Male,Rural,4924607561,Middle,Low,5429599219,4814306789,School,1892982021,3699714137
37,Male,Urban,4555614168,Middle,Low,5257456876.257233,4295994833,Diploma,1071793121,2093107348
38,Male,Rural,3819823622,Low,Low,5372505569,5142306621,School,0965972797,1747881328
39,Male,Rural,5325242154,Middle,Low,4620680683,502082819,Graduate,1210389228,3515429643
40,Female,Rural,5775019737,Low,Low,5257456876.257233,4235929987,School,1024144144,183008905
41,Male,Rural,3655229455,Middle,Low,5700147509,5480714816,Postgraduate,0805765661,2135251855
42,Female,Urban,6521722501,Middle,Low,5236700584,6118196966,Graduate,1238091359,3068004321
43,Male,Urban,6627550639,High,Low,5257456876.257233,5717251863,Graduate,1660213034,3664397013
44,Male,Urban,4003492519,Middle,Low,4789031795,5629405957,Graduate,1001197045,2875488262
45,Male,Urban,4325838951,High,Low,5666552866,6729504778,Diploma,152968344,3562550206
46,Male,Urban,3094888817,Middle,Low,5555936964,5785378802,School,1552574999,3415868267
47,Male,Urban,4584557716,High,Low,4850930955,4102170239,School,082327164,2679237332
48,Male,Urban,5855449635,Low,Low,5257456876.257233,4869020179,Diploma,1765405735,3505612693
49,Female,Urban,3721366624,Low,Low,5043118499,1962639366,Dropout,1355232847,275957094
50,Female,Rural,4998897382,Low,Low,5542330416,4148153755,Diploma,15219851,3746562956
51,Female,Urban,3650920313,Low,Low,5345441722,596796652,Graduate,0965397838,200178253
52,Female,Urban,4150366402,Middle,Low,5800206584,7186642176,Graduate,1268554665,3210273396
53,Male,Rural,5685859097,Middle,Low,5091553049,3387478437,School,124809298,3082125371
54,Female,Rural,6528117755,Middle,Low,5318062336,5971130944,Graduate,1903715983,3257396637
55,Male,Urban,3669168347,Middle,Low,5448422244,7718189435,Graduate,1600931646,4317132564
56,Female,Urban,1102096276,Low,Low,5749087325,5894707863,Diploma,0568642172,1462408084
57,Male,Rural,6598925127,Middle,Low,4628950723,2547530397,Dropout,1994125784,3781313296
58,Male,Urban,6868136094,Middle,Low,5848070878,821320059,Diploma,0927467752,3071546493
59,Male,Rural,2710512849,High,Low,5257456876.257233,497430498,Diploma,028315973,0894640608
60,Female,Rural,6693324291,Middle,Moderate,4736473914,4767841694,Diploma,270313908,4566658192
61,Male,Urban,6525428544,Low,Moderate,4775889927,7588421745,School,3615464699,6037226133
62,Female,Rural,4160527126,Low,Low,5117085205,487686605,School,1862628025,4218824966
63,Male,Urban,4796639192,Middle,Low,4756781423,3393784395,Dropout,1897843506,4123382361
64,Female,Urban,6118252234,Middle,Low,5282589827,6440755079,Diploma,1626461811,300275511
65,Male,Rural,4387712546,Middle,Low,4434794682,1966449291,Dropout,167110437,2955733415
66,Male,Rural,456593013,High,Low,5257456876.257233,7354260039,PhD,1222179967,2731755956
67,Female,Urban,2554648979,Middle,Low,5120185251,3409069728,School,0877261263,1614706278
68,Female,Rural,3406873088,Low,Low,4324448309,1686183621,School,088090296,1926834407
69,Female,Rural,399034828,Middle,Low,5257456876.257233,5626907838,School,0550299338,1504746292
70,Male,Urban,7994884541,Middle,Moderate,5257456876.257233,1488623395,Dropout,2675514544,7020642486
71,Male,Urban,5073559995,Middle,Low,5728841857,8171053038,Diploma,1368132639,4328805754
72,Female,Rural,6169739955,High,Low,5584467545,7444496964,School,2153003944,4183211112
73,Male,Urban,7117946003,Low,Moderate,4641990911,2455324936,School,2112400337,5803466191
74,Female,Urban,6431046912,Middle,Moderate,4665200064,5675617886,Graduate,2710886902,5312698996
75,Female,Rural,660886399,Middle,Low,5050093786,3552207424,Diploma,1415690233,3491572834
76,Male,Urban,373410619,Low,Low,5542892573,4018127718,School,2042102898,3435755511
77,Male,Rural,6912265274,Middle,Low,5157576269,5319979675,Graduate,2575028328,5116497217
78,Male,Rural,3040794529,Low,Low,5257456876.257233,4974317806,School,0954014345,1934653285
79,Female,Urban,4473672944,Low,Low,5895472889,7711596077,Diploma,1180291976,2596097555
80,Male,Rural,281436925,Low,Low,5664461863,6388070926,Graduate,0673791125,1895400404
81,Male,Rural,5686759526,Middle,Low,5640780974,6311920203,Graduate,1428270663,3037465574
82,Female,Urban,4285403921,Low,Low,5910261107,5345189227,Diploma,1302302924,284294799
83,Female,Urban,2893504858,Low,,5257456876.257233,7066638828,Graduate,0674157966,1571522361
84,Other,Rural,6879300427,Middle,Low,5257456876.257233,5082081805,School,1983526204,4196346328
85,Male,Rural,4666578193,High,Low,5549307384,4705749614,Diploma,0630508867,19902387
86,Male,Urban,5598919813,Middle,Low,5688076955,5072690841,Diploma,1621795891,332613188
87,Male,Urban,4818318786,High,Low,5141859402,617720863,Diploma,1568257157,375860651
88,Female,Rural,6287577161,Middle,Low,5991629134,7683140199,School,1662278226,3809323183
89,Female,Urban,3240585933,Middle,Low,5257456876.257233,7174810134,School,1114340134,2606730385
90,Male,Urban,6042312849,Low,Low,4648889588,2574694368,Dropout,1525243562,3905238563
91,Female,Urban,8672888365,Middle,Moderate,4819081393,3599139379,School,359040312,632762023
92,Male,Urban,3009100917,Low,Low,5211091849,3147093526,Diploma,0916536417,2688661348
93,Female,Urban,4875766061,Middle,Low,5453507289,706439246,Graduate,1494854798,3938020465
94,Female,Urban,2154371377,Low,Low,5257456876.257233,7563578388,Graduate,0642371952,1128151337
