gender,urban_rural,internet_access_hours,family_income_level,brain_rot_level,attention_span_minutes,academic_motivation,education_level,short_video_hours,social_media_hours
Male,Rural,5.239520087,High,Low,57.55219381,7.177214107,Graduate,0.457008779,1.098726699
Male,Urban,6.262419617,Middle,Low,51.30987326,5.491656802,Diploma,3.306065857,5.611524655
Female,Urban,3.437669738,Low,Low,55.84438859,5.395044497,Dropout,0.884707218,2.199905032
Male,Urban,4.203739435,Middle,Low,58.02945967,7.618924763,PhD,1.20038476,2.251959836
Other,Rural,5.419134712,Middle,Low,60,5.470742093,School,1.884619151,5.375873107
Other,Rural,5.159628953,Middle,Low,60,6.100852465,School,1.200223735,3.031437671
Male,Rural,4.856546284,Low,Low,55.59058898,6.174413238,Diploma,1.543765655,3.490762448
Male,Urban,7.251634908,Low,Low,60,9.019311495,Postgraduate,1.32013883,4.115842471
Female,Rural,4.545251148,Middle,Low,55.1590248,4.421155068,School,1.182869624,3.890993355
Female,Urban,4.838341885,High,Low,58.31404413,6.953579491,Postgraduate,0.991894593,3.042317518
Male,Rural,8.101382037,Middle,Low,42.96587187,1.649973153,Dropout,2.334687265,3.936223161
Female,Urban,4.227143106,Low,Low,54.44971162,6.802919009,School,0.797280497,2.640743983
Female,Urban,3.565839445,Middle,Low,48.444682,4.202660838,Dropout,1.780727409,3.247325145
Male,Rural,5.686956502,Middle,Low,58.26830673,6.756819401,Diploma,1.478091057,4.180788764
Male,Rural,3.339649386,Low,Low,59.29953427,6.793491785,Postgraduate,0.797847127,2.346901575
Male,Rural,4.036803767,Low,Low,53.27314626,5.022340244,School,1.442202051,2.799782084
Female,Rural,5.338512196,High,Low,51.70035389,5.596426518,School,2.037468859,3.677354874
Female,Urban,4.687064253,Middle,Low,52.10941824,4.237489182,School,1.553035332,3.15682584
Male,Rural,6.701111296,Middle,Moderate,51.57487922,4.992045243,School,3.274874124,5.742363964
Male,Urban,5.597429428,Low,Low,51.44385033,4.595559506,School,1.448797649,3.407862935
